"Taxa","Prevalence","TotalAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Desulfovibrio sp. G11",4,189,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","sp. G11"
"Desulfovibrio sp. IOR2",6,628,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","sp. IOR2"
"Desulfovibrio sulfodismutans",6,619,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","sulfodismutans"
"Desulfovibrio vulgaris",6,626,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","vulgaris"
"Megalodesulfovibrio gigas",6,496,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Megalodesulfovibrio","gigas"
"Oceanidesulfovibrio marinus",6,912,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Oceanidesulfovibrio","marinus"
"Oleidesulfovibrio alaskensis",6,594,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Oleidesulfovibrio","alaskensis"
"Paradesulfovibrio bizertensis",1,24,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Paradesulfovibrio","bizertensis"
"Pseudodesulfovibrio aespoeensis",6,1059,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Pseudodesulfovibrio","aespoeensis"
"Pseudodesulfovibrio cashew",6,519,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Pseudodesulfovibrio","cashew"
"Pseudodesulfovibrio indicus",6,767,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Pseudodesulfovibrio","indicus"
"Pseudodesulfovibrio mercurii",6,829,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Pseudodesulfovibrio","mercurii"
"Pseudodesulfovibrio profundus",5,375,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Pseudodesulfovibrio","profundus"
"Pseudodesulfovibrio sp. SF6",6,283,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Pseudodesulfovibrio","sp. SF6"
"Pseudodesulfovibrio sp. zrk46",6,237,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Pseudodesulfovibrio","sp. zrk46"
"Solidesulfovibrio carbinolicus",6,752,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Solidesulfovibrio","carbinolicus"
"Solidesulfovibrio carbinoliphilus",6,960,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Solidesulfovibrio","carbinoliphilus"
"Solidesulfovibrio magneticus",6,618,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Solidesulfovibrio","magneticus"
"Desulfuromonas soudanensis",6,1196,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Desulfuromonadaceae","Desulfuromonas","soudanensis"
"Desulfuromonas sp. AOP6",6,506,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Desulfuromonadaceae","Desulfuromonas","sp. AOP6"
"Desulfuromonas sp. DDH964",6,1544,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Desulfuromonadaceae","Desulfuromonas","sp. DDH964"
"Desulfuromonas versatilis",6,1984,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Desulfuromonadaceae","Desulfuromonas","versatilis"
"Pelobacter propionicus",6,2310,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Desulfuromonadaceae","Pelobacter","propionicus"
"Citrifermentans bemidjiense",6,1266,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Citrifermentans","bemidjiense"
"Citrifermentans bremense",6,1453,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Citrifermentans","bremense"
"Geoalkalibacter subterraneus",6,1339,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geoalkalibacter","subterraneus"
"Geobacter benzoatilyticus",6,775,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter","benzoatilyticus"
"Geobacter metallireducens",6,1266,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter","metallireducens"
"Geobacter pickeringii",6,1733,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter","pickeringii"
"Geobacter sp. DSM 9736",6,533,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter","sp. DSM 9736"
"Geobacter sp. FeAm09",6,2661,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter","sp. FeAm09"
"Geobacter sp. SVR",6,2005,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter","sp. SVR"
